"Part";"Value";"Device";"Package";"Description";"";
"C1";"";"C-EUC1206K";"C1206K";"CAPACITOR, European symbol";"";
"C2";"";"C-EUC1206K";"C1206K";"CAPACITOR, European symbol";"";
"C3";"";"C-EUC1206K";"C1206K";"CAPACITOR, European symbol";"";
"C4";"105";"C-EUC1206K";"C1206K";"CAPACITOR, European symbol";"";
"C5";"105";"C-EUC1206K";"C1206K";"CAPACITOR, European symbol";"";
"C6";"";"C-EUC1206K";"C1206K";"CAPACITOR, European symbol";"";
"C7";"";"C-EUC1206K";"C1206K";"CAPACITOR, European symbol";"";
"IC1";"OPA2132U";"OPA2132U";"SO08";"High Speed FET-Input Operational Amplifiers<";"";
"IC2";"74A42A";"74A42A";"SO16NS";"4-line to 10-line DECODER (1-of-10)";"";
"JP1";"";"PINHD-1X6";"1X06";"PIN HEADER";"";
"JP2";"100KB";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP3";"";"PINHD-1X4";"1X04";"PIN HEADER";"";
"JP4";"";"PINHD-1X4";"1X04";"PIN HEADER";"";
"JP5";"";"PINHD-1X4";"1X04";"PIN HEADER";"";
"JP6";"";"PINHD-2X2";"2X02";"PIN HEADER";"";
"R1";"";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R2";"";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R3";"";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R4";"";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R5";"";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R6";"750";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R7";"750";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R8";"10";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R9";"10";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R10";"15k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R11";"15k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R12";"*";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R13";"*";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R14";"20K";"R-TRIMM64W";"RTRIM64W";"Trimm resistor";"";
"RCA1";"RCA";"RCA";"RCA";"";"";
"RCA2";"RCA";"RCA";"RCA";"";"";
"RCA3";"RCA";"RCA";"RCA";"";"";
"U$1";"TORX178";"TORX178";"TORX178B";"";"";
"U$2";"DAM1021";"DAM1021";"DAM1021";"";"";
"U$3";"DA101";"DA101";"DAC101";"";"";
"U$4";"DA101";"DA101";"DAC101";"";"";
"U$5";"MAX3280E";"MAX3280E";"SOT23-5L";"";"";
"USB1";"COMBO384";"COMBO384";"COMBO384_B";"";"";
"X1";"NC3MBH-B";"NC3MBH-B";"NC3MBH-B";"Neutrik Audio Connector XLR SERIES";"";
"X2";"NC3MBH-B";"NC3MBH-B";"NC3MBH-B";"Neutrik Audio Connector XLR SERIES";"";
"X3";"NC3FBH2";"NC3FBH2";"NC3FBH2";"Neutrik Audio Connector XLR SERIES";"";
"X4";"FH12-16S-1SH";"FH12-16S-1SH";"FH12-16S-1SH";"1mm Pitch Connectors For FPC/FFC";"";
