"Part";"Value";"Device";"Package";"Description";"";
"LD1";"";"DUOLED-RG-C";"DUOLED-C-5MM";"DUO LED";"";
"LD2";"";"DUOLED-RG-C";"DUOLED-C-5MM";"DUO LED";"";
"LD3";"";"DUOLED-RG-C";"DUOLED-C-5MM";"DUO LED";"";
"LD4";"";"DUOLED-RG-C";"DUOLED-C-5MM";"DUO LED";"";
"LD5";"";"DUOLED-RG-C";"DUOLED-C-5MM";"DUO LED";"";
"LD6";"";"DUOLED-RG-C";"DUOLED-C-5MM";"DUO LED";"";
"LED1";"";"LED3MM";"LED3MM";"LED";"";
"LED2";"";"LED3MM";"LED3MM";"LED";"";
"R1";"";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R2";"";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R3";"";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R4";"";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R5";"";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R6";"";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R7";"";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R8";"";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"S1";"";"CK103X04";"CK103X04";"ROTARY SWITCH";"";
"X1";"FH12-16S-1SH";"FH12-16S-1SH";"FH12-16S-1SH";"1mm Pitch Connectors For FPC/FFC";"";
